"","time_tick","acc_X_value","acc_Y_value","acc_Z_value","train","color"
"328",10.930493,-0.095771,0.109239,-9.612614,"A","blue"
"329",10.963825,-0.059708,0.052225,-8.429686,"A","blue"
"330",10.996499,0.001197,-0.212643,-9.285046,"A","blue"
"331",11.030509,-0.022446,-0.336397,-10.711592,"A","blue"
"332",11.064103,0.169695,-0.062401,-9.600942,"A","blue"
"333",11.09736,0.298687,0.15907,-9.434988,"A","blue"
"334",11.130473,0.500705,0.156826,-10.512567,"A","blue"
"335",11.163839,0.336547,0.018705,-9.488111,"A","blue"
"336",11.197247,0.412117,-0.305571,-9.925368,"A","blue"
"337",11.230157,0.384433,-0.340438,-10.129481,"A","blue"
"338",11.2638,0.193189,-0.318739,-9.089163,"A","blue"
"339",11.296176,0.323229,-0.22641,-9.601989,"A","blue"
"340",11.330495,0.322929,-0.127645,-9.827352,"A","blue"
"341",11.363747,0.080508,0.066591,-9.90756,"A","blue"
"342",11.39711,0.04594,0.245863,-9.598697,"A","blue"
"343",11.430416,0.057613,0.263222,-9.248533,"A","blue"
"344",11.462968,0.043247,0.112681,-9.80281,"A","blue"
"345",11.496415,-0.021549,0.023644,-10.136514,"A","blue"
"346",11.530431,0.01691,0.127047,-9.616355,"A","blue"
"347",11.563971,0.101308,0.124802,-10.140554,"A","blue"
"348",11.596682,0.00853,-0.007482,-10.374446,"A","blue"
"349",11.630495,0.054919,-0.099213,-9.510857,"A","blue"
"350",11.671086,0.181966,-0.329514,-10.219416,"A","blue"
"351",11.696549,0.177477,-0.380243,-10.183352,"A","blue"
"352",11.730508,0.108192,-0.344029,-9.663642,"A","blue"
"353",11.76377,0.164308,-0.315896,-9.419724,"A","blue"
"354",11.796362,0.153983,-0.328616,-9.254818,"A","blue"
"355",11.830506,0.082603,-0.269058,-8.980223,"A","blue"
"356",11.863869,0.111634,-0.343879,-9.956793,"A","blue"
"357",11.897259,0.025439,-0.223267,-9.673668,"A","blue"
"358",11.929968,0.026487,0.040553,-9.3669,"A","blue"
"359",11.963841,0.145603,0.082603,-9.461774,"A","blue"
"360",11.996333,0.130489,-0.089337,-9.371838,"A","blue"
"361",12.030535,0.020501,-0.335948,-9.955296,"A","blue"
"362",12.063852,0.10909,-0.336248,-10.250093,"A","blue"
"363",12.096497,0.153534,-0.327119,-10.433106,"A","blue"
"364",12.130307,0.124653,0.085745,-9.46342,"A","blue"
"365",12.163843,0.103553,0.020501,-9.608274,"A","blue"
"366",12.197079,0.024242,-0.206657,-10.196072,"A","blue"
"367",12.230527,-0.063149,-0.074971,-9.214564,"A","blue"
"368",12.262863,0.080508,-0.093228,-9.637455,"A","blue"
"369",12.29663,0.0208,-0.21384,-10.870064,"A","blue"
"370",12.330503,-0.096071,0.156826,-8.789727,"A","blue"
"371",12.363381,0.019304,0.145752,-10.286755,"A","blue"
"372",12.397248,0.044294,0.007781,-10.390757,"A","blue"
"373",12.430475,-0.134978,0.059109,-8.727177,"A","blue"
"374",12.463799,0.084249,-0.16775,-10.474857,"A","blue"
"375",12.497279,0.032024,0.079161,-9.553954,"A","blue"
"376",12.530485,-0.019304,0.414361,-9.477935,"A","blue"
"377",12.563759,0.020202,0.357647,-9.787696,"A","blue"
"378",12.59642,-0.006135,0.187203,-9.321259,"A","blue"
"379",12.630445,0.069734,0.093976,-9.681749,"A","blue"
"380",12.662941,0.049532,0.032473,-10.060795,"A","blue"
"381",12.696913,-0.006884,0.081555,-9.208129,"A","blue"
"382",12.729854,-0.004938,0.057762,-9.858178,"A","blue"
"383",12.762994,-0.019304,-0.002993,-10.139806,"A","blue"
"384",12.797185,-0.032173,0.027385,-9.935244,"A","blue"
"385",12.830462,0.039206,0.181966,-9.421969,"A","blue"
"386",12.863795,0.089486,-0.102805,-10.041191,"A","blue"
"387",12.896739,-0.030378,-0.224913,-10.02937,"A","blue"
"388",12.930496,0.013618,-0.246612,-10.143697,"A","blue"
"389",12.963023,0.083052,-0.099064,-9.623239,"A","blue"
"390",12.99665,0.108042,-0.15907,-10.312644,"A","blue"
"391",13.030476,-0.099363,-0.288362,-9.973553,"A","blue"
"392",13.06379,-0.039955,-0.225512,-9.854138,"A","blue"
"393",13.096248,0.028283,-0.258583,-10.286755,"A","blue"
"394",13.130503,0.043097,-0.199624,-9.793682,"A","blue"
"395",13.163812,0.041451,-0.176579,-9.603186,"A","blue"
"396",13.19658,0.13393,-0.323229,-10.06678,"A","blue"
"397",13.23052,0.001646,-0.327868,-9.784703,"A","blue"
"398",13.263425,-0.016161,-0.298538,-9.435736,"A","blue"
"399",13.296821,0.060306,-0.303326,-9.206782,"A","blue"
"400",13.330508,-0.016012,-0.281329,-9.114602,"A","blue"
"401",13.363342,-0.063598,-0.33535,-9.35014,"A","blue"
"402",13.397179,-0.093377,-0.313652,-10.300223,"A","blue"
"403",13.430468,-0.152037,-0.003442,-10.511968,"A","blue"
"404",13.463841,-0.05028,0.586301,-9.225188,"A","blue"
"405",13.496282,0.146201,0.460601,-8.453629,"A","blue"
"406",13.530475,-0.13408,-0.249904,-10.556711,"A","blue"
"407",13.563842,-0.109539,-0.328017,-12.034884,"A","blue"
"408",13.596466,-0.129441,0.015114,-8.854822,"A","blue"
"409",13.63046,0.190795,0.39416,-10.419339,"A","blue"
"410",13.663527,0.236735,0.299286,-10.423828,"A","blue"
"411",13.696503,-0.020202,0.368122,-7.847725,"A","blue"
"412",13.730465,0.034418,0.196182,-10.676875,"A","blue"
"413",13.763354,0.077216,0.015862,-10.886674,"A","blue"
"414",13.797165,-0.034717,0.466886,-9.651671,"A","blue"
"415",13.8303,0.214738,0.706015,-10.287204,"A","blue"
"416",13.863806,0.026786,0.399696,-9.833786,"A","blue"
"417",13.897217,-0.061653,0.369169,-8.954484,"A","blue"
"418",13.929782,0.021549,0.205909,-8.717749,"A","blue"
"419",13.963792,0.003591,-0.064346,-10.245304,"A","blue"
"420",13.997173,-0.101608,-0.1465,-10.712789,"A","blue"
"421",14.030159,-0.071978,0.604707,-9.536146,"A","blue"
"422",14.063842,0.015264,0.744174,-9.255566,"A","blue"
"423",14.097115,-0.184061,0.237034,-9.405508,"A","blue"
"424",14.129992,-0.281628,0.02514,-9.562334,"A","blue"
"425",14.163838,-0.331609,-0.15518,-8.979774,"A","blue"
