time_tick,lac_X_value,lac_Y_value,lac_Z_value
9.985006,-0.285053,-0.115760,-0.296205
10.035020,0.773411,0.025169,0.355827
10.065065,1.129345,0.316050,0.666984
10.095086,1.131002,0.473084,-0.161823
10.125109,0.929515,0.686024,-0.462110
10.165141,0.562703,0.704752,-0.164800
10.195163,0.260235,0.338548,0.757176
10.225185,-0.462401,-0.479805,0.245050
10.255207,-0.629244,-0.755537,0.196529
10.295237,-0.654146,-0.887646,-0.403369
10.325250,-0.320630,-0.776173,-0.434673
10.365289,0.206087,-0.155964,-0.237980
10.395313,0.772164,0.331113,0.480695
10.415328,0.571805,0.943818,0.541416
10.465349,-0.068989,0.677681,0.257858
10.495378,-0.099634,0.390299,0.012144
10.535414,1.335123,-0.454457,-0.968324
10.565412,0.765927,0.449253,1.227889
10.595436,0.587276,0.044669,0.630837
10.625471,0.015387,0.208739,-0.040530
10.655490,-0.197308,0.194872,-0.213005
10.695536,-0.042421,-0.047805,0.169880
10.725559,0.191153,-0.119693,-0.118425
10.755582,0.302492,0.064694,0.026213
10.795612,0.599056,0.413398,0.218880
10.825635,0.500443,0.425170,-0.079277
10.865664,0.335258,0.184054,-0.073921
10.895686,0.255671,-0.033823,0.099607
10.935715,-0.058156,-0.408488,0.092541
10.965713,-0.298764,-0.377911,0.096234
10.995743,-0.332466,-0.136529,0.000020
11.025772,-0.338996,0.118232,-0.076445
11.065801,-0.187547,0.259743,-0.084080
11.095830,0.006988,0.104024,-0.011447
11.125859,0.054599,0.040668,-0.003654
11.155882,-0.040619,-0.041026,0.078681
11.185904,-0.251100,-0.086965,0.094540
11.215929,-0.251090,-0.166767,0.113048
11.265957,-0.013759,0.058550,0.269657
11.285977,0.016703,0.097255,0.094635
11.326005,0.063571,0.223643,-0.068038
11.356031,0.100138,0.244761,-0.050967
11.396045,0.289166,0.102304,-0.010335
11.426081,0.526750,0.067856,0.077985
11.456081,0.511079,0.092263,0.202593
11.486131,0.313318,0.096253,0.097524
11.526137,-0.011844,0.129941,-0.026706
11.566188,-0.120959,0.070979,0.032880
11.596211,-0.115276,0.077535,0.028369
11.616222,-0.107235,0.082591,-0.020112
11.656255,-0.106481,0.207878,-0.051263
